"","AQS_PARAMETER_NAME","Distinct_Locations","NonDetects","BelowMDL","AboveMDL","MeanMDL","max_DatesPerSite","min_DatesPerSite","mean_DatesPerSite"
"1","Benzene",282,2.2301842644048,8.85127230184264,88.9185434337526,0.212601163597075,362,2,96.9929078014184
"2","Carbon tetrachloride",226,3.24449594438007,25.7821552723059,70.973348783314,0.304499995742328,65,2,45.8230088495575
"3","Chloroform",225,20.9937288953208,32.7737578388808,46.2325132657984,0.239968209077817,65,2,46.0666666666667
"4","Hexane",165,3.61023662029044,2.06154158626993,94.3282217934396,0.050350487648267,355,3,119.357575757576
